list_title,category
"Scott list 1 (Copy)",Books
"Scott list 1 (Copy)",Books
"Scott list 1 (Copy)",Books
"Scott’s list (Copy)",Books
"Scott’s list (Copy)",Books
"Scott’s list (Copy)",Books
"Scott’s list (Copy)",Books
"Scout list 2 (Copy)",Books
"Scout list 2 (Copy)",Books
"Top 10 fruit",Food
"Top 10 fruit",Food
"Top 10 fruit",Food
fewfewf,Books
reyg,Books
"My list",Food
"My list",Food
"My list",Food
"My list",Food
"My list",Food
"My list",Food
"My list",Food
"My list",Food
"My list",Food
"My list",Food
"Test 2",Food
"Test 2",Food
"Test 2",Food
"Test 2",Food
